Verb,Satz
abhängen,Das Ergebnis hängt {von} deiner Anstrengung ab.
(sich) abmelden,Du musst dich {von} der Veranstaltung abmelden.
ändern,Er ändert seine Meinung {über} das Projekt.
anfangen,Wir fangen {mit} der Arbeit pünktlich an.
sich ängstigen,Sie ängstigt sich {vor} großen Hunden.
(sich) anmelden,Ich melde mich {zu} dem Kurs an.
(sich) anpassen,Man muss sich {an} die neue Umgebung anpassen.
anrufen,Ruf mich bitte {bei} Problemen an. 
anrufen,Ruf mich {nach} der Arbeit an.
antworten,Die Studentin antwortet {auf} die Frage des Professors.
arbeiten,Sie arbeitet {an} einem neuen Buch.
sich ärgern,Er ärgert sich {über} den verlorenen Schlüssel.
sich aufregen,Reg dich nicht {über} Kleinigkeiten auf!
ausbrechen,Die Krankheit ist {in} der Bevölkerung ausgebrochen.
äußern,Der Zeuge äußert sich nicht {zu} den Vorfällen.
ausgeben,Er gibt viel Geld {für} Hobbys aus.
ausgehen,Das Licht geht {in} diesem Raum oft aus. 
ausgehen,Wir gehen heute Abend {mit} Freunden aus.
sich ausruhen,Ich ruhe mich {von} der langen Reise aus.
sich austauschen,Sie tauschen sich {über} ihre Erfahrungen aus.
sich auszeichnen,Er zeichnet sich {durch} Fleiß und Intelligenz aus.
basieren,Die Theorie basiert {auf} neuen Forschungsergebnissen.
sich bedanken,Peter bedankt sich {für} den Film.
sich befassen,Die Wissenschaftler befassen sich {mit} der Klimakrise.
befreien,Die Soldaten befreien das Dorf {von} der Belagerung.
sich begeistern,Er begeistert sich {für} klassische Musik.
beginnen,Wir beginnen {mit} dem Projekt sofort.
behandeln,Die Ärztin behandelt den Patienten {gegen} eine Erkältung.
beitragen,Jeder sollte etwas {zu} einem besseren Klima beitragen.
sich beklagen,Sie beklagt sich {über} den schlechten Service.
sich bemühen,Er bemüht sich {um} eine bessere Note.
berichten,Die Zeitung berichtet {über} das jüngste Erdbeben.
(sich) beschäftigen,Er beschäftigt sich viel {mit} alten Sprachen.
sich beschweren,Der Gast beschwert sich {bei} der Rezeption. 
sich beschweren,Der Gast beschwert sich {über} das Zimmer.
bestellen,Er bestellt Pizza {bei} seinem Lieblingslieferdienst.
sich beteiligen,Die Firma beteiligt sich {an} der Messe.
sich bewerben,Sie bewirbt sich {um} eine Stelle als Lehrerin.
sich beziehen,Die Aussage bezieht sich {auf} den vorherigen Absatz.
bitten,Ich bitte dich {um} deine Hilfe.
danken,Ich danke dir {für} die Einladung.
denken,Er denkt oft {an} seine Heimat.
demonstrieren,Die Menschen demonstrieren {gegen} die neuen Gesetze.
diskutieren,Wir diskutieren {über} die neuesten Nachrichten.
sich eignen,Das Tuch eignet sich gut {für} diesen Zweck.
(sich) einarbeiten,Er arbeitet sich schnell {in} die neue Software ein.
einladen,Wir laden dich herzlich {zu} unserer Party ein.
einstellen,Die Firma stellt einen neuen Mitarbeiter {als} Manager ein. 
einstellen,Die Produktion wird {wegen} technischer Probleme eingestellt.
einziehen,Sie ziehen nächste Woche {in} die neue Wohnung ein.
sich empören,Sie empören sich {über} die Ungerechtigkeit.
sich engagieren,Er engagiert sich {für} den Tierschutz.
(sich) entfernen,Er entfernt sich langsam {von} seinem Auto.
sich entscheiden,Sie entscheidet sich {für} das blaue Kleid.
sich entschließen,Er entschließt sich {zu} einer beruflichen Veränderung.
sich entschuldigen,Ich entschuldige mich {für} mein Verhalten.
sich entwickeln,Die Stadt entwickelt sich schnell {zu} einem Technologiezentrum.
sich erhoffen,Er erhofft sich viel {von} dieser Investition.
sich erholen,Sie erholt sich gerade {von} der Grippe.
(sich) erinnern,Er erinnert sich nicht {an} den Traum.
sich erkundigen,Ich erkundige mich {nach} dem Weg zum Bahnhof.
erschrecken,Die Kinder erschrecken {vor} dem lauten Knall.
erzählen,Erzähl mir mehr {über} deinen Urlaub.
forschen,Sie forscht {nach} einer neuen Heilmethode.
fragen,Frag ihn bitte {nach} seiner Meinung.
sich freuen (zukünftig),Wir freuen uns {auf} das Wochenende.
sich freuen (gegenwärtig),Sie freut sich {über} das Geschenk.
sich freuen (vergangen),Ich habe mich sehr {über} deinen Besuch gefreut.
gefallen,Der Mantel gefällt mir {wegen} der Farbe.
gelten,Diese Regel gilt nur {für} Erwachsene.
gewinnen,Er gewinnt die Goldmedaille {bei} den Olympischen Spielen.
sich gewöhnen,Er hat sich schnell {an} das kalte Wetter gewöhnt.
glauben,Ich glaube fest {an} seine Unschuld.
gratulieren,Ich gratuliere dir {zu} deinem Erfolg.
greifen,Er greift {nach} der Tasse.
handeln (Thema),Der Film handelt {von} einer romantischen Geschichte.
handeln (Maßnahme),Die Regierung handelt {gegen} die hohe Inflation.
sich handeln,Es handelt sich {um} ein sehr seltenes Exemplar.
helfen,Kannst du mir bitte {bei} den Hausaufgaben helfen?
hinweisen,Ich weise dich {auf} die Gefahren hin.
hoffen,Wir hoffen {auf} besseres Wetter morgen.
sich identifizieren,Er identifiziert sich stark {mit} seiner Arbeitsgruppe.
sich informieren,Informiere dich bitte {über} die neuen Öffnungszeiten.
sich integrieren,Sie integriert sich gut {in} das neue Team.
sich interessieren,Er interessiert sich {für} alte Geschichte.
investieren,Die Firma investiert viel Geld {in} erneuerbare Energien.
kämpfen,Sie kämpfen {um} ihre Rechte.
klagen,Er klagt {über} starke Kopfschmerzen.
kommunizieren,Wir kommunizieren regelmäßig {mit} unseren Partnern.
sich konfrontieren,Er konfrontiert sich {mit} seinen Ängsten.
sich konzentrieren,Konzentriere dich bitte {auf} deine Arbeit.
